ticker,start_epoch,end_epoch,exit
PM,1784192561,1784193204,0
EXEL,1784192561,1784193266,0
HG,1784192561,1784193305,0
CAT,1784192561,1784193318,0
META,1784192561,1784193360,0
MU,1784192561,1784193411,0
PM,1784193318,1784194008,0
META,1784193318,1784194014,0
MU,1784193318,1784194078,0
KRYS,1784193411,1784194143,0
SAP,1784193411,1784194185,0
DCTH,1784193411,1784194281,0
SAP,1784194078,1784194323,127
DCTH,1784194078,1784194323,127
KRYS,1784194078,1784194323,127
